num_elements,total_atoms,mean_atomic_number,min_atomic_number,max_atomic_number,mean_atomic_mass,min_atomic_mass,max_atomic_mass,mean_atomic_radius,min_atomic_radius,max_atomic_radius,crys,spg_number,mean_electronegativity,min_electronegativity,max_electronegativity,electronegativity_difference,mean_ionization_energy,mean_electron_affinity,mean_s_valence,mean_p_valence,mean_d_valence,mean_f_valence,mean_period,mean_group,target_bandgap
4,4.0,24.5,14.0,33.0,53.605025,28.0855,74.9216,1.25,1.1,1.4,tetragonal,129,1.88,1.54,2.18,0.6400000000000001,8.123695000000001,0.8440000000000001,1.75,1.25,5.5,0.0,3.75,11.0,0.0
2,7.0,13.714285714285714,5.0,66.0,32.48085714285714,10.811,162.5,0.9785714285714285,0.85,1.75,cubic,221,1.9228571428571426,1.22,2.04,0.8200000000000001,7.961002857142857,0.30028571428571427,2.0,0.8571428571428571,0.0,1.4285714285714284,2.8571428571428568,12.857142857142856,0.0
3,4.0,32.0,4.0,76.0,77.33109099999999,9.012182,190.23,1.175,1.05,1.3,tetragonal,119,1.885,1.57,2.2,0.6300000000000001,8.6110325,0.5185,1.75,0.0,3.25,3.5,3.75,5.0,0.0
2,2.0,51.0,19.0,83.0,124.03935,39.0983,208.9804,1.9000000000000001,1.6,2.2,monoclinic,14,1.42,0.82,2.02,1.2000000000000002,5.81308165,0.698,1.5,1.5,5.0,7.0,5.0,8.0,0.472
2,3.0,30.333333333333332,23.0,34.0,69.62049999999999,50.9415,78.96,1.2166666666666666,1.15,1.35,trigonal,164,2.243333333333333,1.63,2.55,0.9199999999999999,8.750323333333334,1.4686666666666666,2.0,2.6666666666666665,7.666666666666666,0.0,4.0,12.333333333333332,0.0
3,3.0,34.666666666666664,14.0,65.0,80.64963166666668,28.0855,158.92535,1.4166666666666667,1.1,1.75,orthorhombic,62,1.15,0.0,1.9,1.9,7.1498333333333335,0.612,2.0,0.6666666666666666,1.6666666666666665,3.0,5.0,10.666666666666666,0.0
3,6.0,53.0,11.0,83.0,130.21302821333333,22.98976928,208.9804,2.0,1.6,2.15,cubic,216,1.085,0.89,2.02,1.13,5.5452053333333335,0.33299999999999996,1.8333333333333333,0.5,1.6666666666666665,2.333333333333333,5.5,4.0,0.0
3,5.0,17.6,8.0,38.0,38.29264,15.9994,87.62,1.0399999999999998,0.6,2.0,cubic,221,2.62,0.95,3.44,2.49,10.89028,0.88746,2.0,2.4,1.2000000000000002,0.0,3.0,11.6,0.0
3,6.0,38.833333333333336,28.0,71.0,88.0751,58.6934,174.967,1.4333333333333333,1.35,1.75,cubic,216,1.8116666666666665,1.27,1.96,0.69,7.221496666666666,1.0088333333333335,1.9999999999999998,0.3333333333333333,7.166666666666666,2.333333333333333,4.5,9.5,0.0
4,12.0,35.666666666666664,16.0,74.0,83.1475,32.065,183.84,1.1500000000000001,1.0,1.45,trigonal,156,2.485,2.16,2.58,0.41999999999999993,9.362446666666667,1.5814166666666667,1.9166666666666667,2.6666666666666665,3.083333333333333,3.5,4.083333333333333,12.666666666666666,0.689
4,20.0,22.65,8.0,58.0,52.311546750000005,15.9994,140.116,1.0924999999999998,0.6,2.15,trigonal,166,2.5305,0.89,3.44,2.55,10.6052008,0.8989,2.0,2.4,0.8,0.05,3.4000000000000004,11.25,1.517
